GEOIDFQ,NAME,GEOTYPE,Year,Number of Sales,Median Sales Price,Median Sales Price MOE,Median Household Income (MSA),Median Household Income MOE (MSA),Sales Price to Income Index (MSA),Median Sales Price (2024 Dollars),"Median Household Income (MSA, 2024 Dollars)"
0500000US39089,Licking County,COUNTY,2012,1660,127000.0,3911.8161539526036,53699,1282.0,2.365034730628131,173517.1781492548,73367.70826328215
0500000US39089,Licking County,COUNTY,2013,1945,135000.0,3771.446750908457,54079,1130.0,2.4963479354278,181784.6855857519,72820.25193919908
0500000US39089,Licking County,COUNTY,2014,2013,145000.0,4357.909400552103,56371,981.0,2.5722445938514484,192133.45245336578,74694.86102240472
0500000US39089,Licking County,COUNTY,2015,2285,154000.0,3568.07845818381,58192,1604.0,2.6464118779213637,203817.0510976006,77016.37556799724
0500000US39089,Licking County,COUNTY,2016,2468,163450.0,3589.9732447455604,60294,1005.0,2.710883338308953,213629.0485277513,78804.22056856676
0500000US39089,Licking County,COUNTY,2017,2555,180000.0,3711.8966459688536,63764,1469.0,2.8229094787027162,230352.5620104439,81601.11535574413
0500000US39089,Licking County,COUNTY,2018,2425,195000.0,4201.197243986525,64052,1189.0,3.0444014238431274,243598.7646700411,80015.32345972037
0500000US39089,Licking County,COUNTY,2019,2525,208000.0,4161.201044629979,67207,1091.0,3.0949157081851593,255214.2597308112,82462.42670061841
0500000US39089,Licking County,COUNTY,2020,2542,232000.0,4869.793203255093,66715,579.0,3.4774788278498088,281193.0250259842,80861.17527848508
0500000US39089,Licking County,COUNTY,2021,2869,262000.0,5156.994264141653,71839,1250.0,3.647044084689375,303304.86031664023,83164.57198582869
0500000US39089,Licking County,COUNTY,2022,2548,300000.0,6540.666508128331,75777,1639.0,3.958984916267469,321561.9073653278,81223.32218140816
0500000US39089,Licking County,COUNTY,2023,2151,310000.0,6416.308063177078,77390,1550.0,4.0056854890812765,319143.2612847963,79672.57093816253
0500000US39089,Licking County,COUNTY,2024,2225,320000.0,6881.781161983235,82938,1487.0,3.8583037931949167,320000.0,82938.0
0500000US39091,Logan County,COUNTY,2012,64,98750.0,13097.950628451821,53699,1282.0,1.8389541704687238,134919.85308849535,73367.70826328215
0500000US39091,Logan County,COUNTY,2013,54,73750.0,12409.671620789017,54079,1130.0,1.363745631391113,99308.30045888298,72820.25193919908
0500000US39091,Logan County,COUNTY,2014,94,126950.0,18398.570505601525,56371,981.0,2.252044490961665,168216.1502686537,74694.86102240472
0500000US39091,Logan County,COUNTY,2015,123,132000.0,14050.75595658727,58192,1604.0,2.268353038218312,174700.32951222907,77016.37556799724
0500000US39091,Logan County,COUNTY,2016,166,124950.0,15275.398673903519,60294,1005.0,2.0723455070156236,163309.57242913748,78804.22056856676
0500000US39091,Logan County,COUNTY,2017,170,141000.0,16110.889303937343,63764,1469.0,2.211279091650461,180442.84024151438,81601.11535574413
0500000US39091,Logan County,COUNTY,2018,167,149900.0,28856.499023447133,64052,1189.0,2.3402860176106914,187258.7426873803,80015.32345972037
0500000US39091,Logan County,COUNTY,2019,214,161000.0,15311.422633542345,67207,1091.0,2.395583793354859,197545.65296471442,82462.42670061841
0500000US39091,Logan County,COUNTY,2020,229,170000.0,15792.172927508003,66715,579.0,2.548152589372705,206046.6131655919,80861.17527848508
0500000US39091,Logan County,COUNTY,2021,265,210000.0,16925.303011810443,71839,1250.0,2.9232032739876668,243106.94910875743,83164.57198582869
0500000US39091,Logan County,COUNTY,2022,302,234750.0,17258.863141419097,75777,1639.0,3.0979056969792946,251622.19251336902,81223.32218140816
0500000US39091,Logan County,COUNTY,2023,259,240000.0,16372.36224664716,77390,1550.0,3.1011758625145367,247078.65389790683,79672.57093816253
0500000US39091,Logan County,COUNTY,2024,304,250000.0,19963.826057895836,82938,1487.0,3.0142998384335287,250000.0,82938.0
0500000US39097,Madison County,COUNTY,2012,288,116000.0,9427.956594338217,53699,1282.0,2.1601892027784504,158488.1312229414,73367.70826328215
0500000US39097,Madison County,COUNTY,2013,328,128000.0,12662.35902313902,54079,1130.0,2.3669076721093214,172358.812999824,72820.25193919908
0500000US39097,Madison County,COUNTY,2014,369,128000.0,8459.38640076906,56371,981.0,2.270671089744727,169607.46147607462,74694.86102240472
0500000US39097,Madison County,COUNTY,2015,421,137900.0,7710.729083927886,58192,1604.0,2.369741545229585,182508.9048464878,77016.37556799724
0500000US39097,Madison County,COUNTY,2016,468,146200.0,8090.567410284107,60294,1005.0,2.4247852190931103,191083.30923681392,78804.22056856676
0500000US39097,Madison County,COUNTY,2017,481,147000.0,7835.408083018713,63764,1469.0,2.305376074273885,188121.25897519584,81601.11535574413
0500000US39097,Madison County,COUNTY,2018,470,165750.0,8372.142831986499,64052,1189.0,2.587741210266658,207058.94996953494,80015.32345972037
0500000US39097,Madison County,COUNTY,2019,441,178000.0,11101.106645741425,67207,1091.0,2.648533634889223,218404.51073117496,82462.42670061841
0500000US39097,Madison County,COUNTY,2020,489,202000.0,9801.23497645128,66715,579.0,3.0278048414899197,244831.85799676212,80861.17527848508
0500000US39097,Madison County,COUNTY,2021,499,250000.0,11285.286746760616,71839,1250.0,3.4800038976043655,289413.03465328267,83164.57198582869
0500000US39097,Madison County,COUNTY,2022,504,269700.0,12090.76379554824,75777,1639.0,3.5591274397244548,289084.15472142975,81223.32218140816
0500000US39097,Madison County,COUNTY,2023,435,299000.0,13438.87034345422,77390,1550.0,3.86354826204936,307818.82298114226,79672.57093816253
0500000US39097,Madison County,COUNTY,2024,503,330000.0,17233.119614748273,82938,1487.0,3.978875786732258,330000.0,82938.0
0500000US39101,Marion County,COUNTY,2012,498,65000.0,4603.440821057692,53699,1282.0,1.2104508463844765,88808.00456457923,73367.70826328215
0500000US39101,Marion County,COUNTY,2013,512,74450.0,4858.882806484742,54079,1130.0,1.3766896577229608,100250.88771747577,72820.25193919908
0500000US39101,Marion County,COUNTY,2014,540,86750.0,4749.662174077385,56371,981.0,1.5389118518387115,114948.80689882401,74694.86102240472
0500000US39101,Marion County,COUNTY,2015,614,81900.0,4649.881995534852,58192,1604.0,1.4074099532581799,108393.6135382694,77016.37556799724
0500000US39101,Marion County,COUNTY,2016,724,95395.0,4255.852643730577,60294,1005.0,1.582164062759147,124681.2057773315,78804.22056856676
0500000US39101,Marion County,COUNTY,2017,675,102000.0,4393.033565752284,63764,1469.0,1.599648704598206,130533.11847258486,81601.11535574413
0500000US39101,Marion County,COUNTY,2018,801,110000.0,5132.03142135131,64052,1189.0,1.7173546493474052,137414.68776258727,80015.32345972037
0500000US39101,Marion County,COUNTY,2019,799,118500.0,4882.11927226726,67207,1091.0,1.763209189518949,145398.5085485631,82462.42670061841
0500000US39101,Marion County,COUNTY,2020,852,125000.0,4880.7995985113375,66715,579.0,1.8736416098328712,151504.86262175874,80861.17527848508
0500000US39101,Marion County,COUNTY,2021,773,149000.0,5605.935569244826,71839,1250.0,2.0740823229722016,172490.16865335646,83164.57198582869
0500000US39101,Marion County,COUNTY,2022,685,152500.0,6619.10004803664,75777,1639.0,2.01248399910263,163460.63624404164,81223.32218140816
0500000US39101,Marion County,COUNTY,2023,633,159500.0,7391.4644837391925,77390,1550.0,2.0609897919627858,164204.3554029839,79672.57093816253
0500000US39101,Marion County,COUNTY,2024,689,180000.0,7014.238012634101,82938,1487.0,2.1702958836721407,180000.0,82938.0
0500000US39117,Morrow County,COUNTY,2012,122,70162.0,7922.663039439045,53699,1282.0,1.3065792659081175,95860.72640400012,73367.70826328215
0500000US39117,Morrow County,COUNTY,2013,187,90000.0,8349.806613165243,54079,1130.0,1.6642319569518667,121189.79039050126,72820.25193919908
0500000US39117,Morrow County,COUNTY,2014,273,122500.0,7746.341111880759,56371,981.0,2.1731031913572583,162319.64086577456,74694.86102240472
0500000US39117,Morrow County,COUNTY,2015,449,132000.0,6188.59074987184,58192,1604.0,2.268353038218312,174700.32951222907,77016.37556799724
0500000US39117,Morrow County,COUNTY,2016,437,138000.0,6313.665818042775,60294,1005.0,2.288784953726739,180365.9143274988,78804.22056856676
0500000US39117,Morrow County,COUNTY,2017,406,139950.0,7157.414853203518,63764,1469.0,2.194812119691362,179099.11696312012,81601.11535574413
0500000US39117,Morrow County,COUNTY,2018,357,150000.0,8882.656549878038,64052,1189.0,2.341847249110098,187383.66513080083,80015.32345972037
0500000US39117,Morrow County,COUNTY,2019,325,170000.0,9576.459566617405,67207,1091.0,2.5294984153436397,208588.5776646053,82462.42670061841
0500000US39117,Morrow County,COUNTY,2020,363,192000.0,10740.416073546101,66715,579.0,2.87791351270329,232711.46898702142,80861.17527848508
0500000US39117,Morrow County,COUNTY,2021,377,218000.0,11514.918058364128,71839,1250.0,3.0345633987110068,252368.16621766248,83164.57198582869
0500000US39117,Morrow County,COUNTY,2022,353,247000.0,19646.155945607206,75777,1639.0,3.2595642477268827,264752.6370641199,81223.32218140816
0500000US39117,Morrow County,COUNTY,2023,298,269500.0,18705.637288877755,77390,1550.0,3.4823620622819487,277448.73843952455,79672.57093816253
0500000US39117,Morrow County,COUNTY,2024,296,290000.0,14663.449592434497,82938,1487.0,3.4965878125828933,290000.0,82938.0
0500000US39127,Perry County,COUNTY,2012,21,65000.0,25419.40826048374,53699,1282.0,1.2104508463844765,88808.00456457923,73367.70826328215
0500000US39127,Perry County,COUNTY,2013,20,98500.0,30752.458088634015,54079,1130.0,1.8214094195528763,132635.49281627082,72820.25193919908
0500000US39127,Perry County,COUNTY,2014,111,135000.0,15084.083169620859,56371,981.0,2.3948484149651414,178882.86952554746,74694.86102240472
0500000US39127,Perry County,COUNTY,2015,126,125000.0,14306.996641346319,58192,1604.0,2.148061589221886,165435.91809870178,77016.37556799724
0500000US39127,Perry County,COUNTY,2016,132,125700.0,14748.839601383275,60294,1005.0,2.084784555677182,164289.82196352608,78804.22056856676
0500000US39127,Perry County,COUNTY,2017,188,139700.0,15073.17274607351,63764,1469.0,2.1908914120820526,178779.1828492167,81601.11535574413
0500000US39127,Perry County,COUNTY,2018,226,142000.0,15170.425417795923,64052,1189.0,2.2169487291575596,177389.86965715812,80015.32345972037
0500000US39127,Perry County,COUNTY,2019,236,138900.0,15540.992528917663,67207,1091.0,2.0667489993601857,170429.13786831574,82462.42670061841
0500000US39127,Perry County,COUNTY,2020,208,175500.0,15759.134859363468,66715,579.0,2.6305928202053512,212712.82712094928,80861.17527848508
0500000US39127,Perry County,COUNTY,2021,259,178900.0,18058.953971519317,71839,1250.0,2.490290789125684,207103.96759788907,83164.57198582869
0500000US39127,Perry County,COUNTY,2022,268,211250.0,23529.19811719639,75777,1639.0,2.787785211871676,226433.17643641835,81223.32218140816
