GEO_ID,NAME,reference_period,Number of Sales,Median Sale Price,Median Sale Price MOE,Median Household Income (Columbus MSA),Sales Price to Income Index (MORPC 15-county region),Median Sale Price (2024 Dollars),"Median Household Income (Columbus MSA, 2024 Dollars)",Percent Change in Median Sale Price (2024 Dollars),"Percent Change in Median Household Income (Columbus MSA, 2024 Dollars)"
0500000US39129,Pickaway,2015,552,142250.0,5707.057249231108,58192,2.4444940885345066,188266.07479632262,77016.37556799724,-1.451,3.108
0500000US39129,Pickaway,2016,648,150000.0,5275.818015724172,60294,2.487809732311673,196049.90687771607,78804.22056856676,2.623,5.502
0500000US39129,Pickaway,2017,667,159900.0,6091.6597687119765,63764,2.5076845869142463,204629.85925261097,81601.11535574413,7.115,9.246
0500000US39129,Pickaway,2018,629,172900.0,6099.538525332214,64052,2.6993692624742396,215990.9046741031,80015.32345972037,13.062,7.123
0500000US39129,Pickaway,2019,647,187500.0,6556.5720676616065,67207,2.7898879580996025,230060.93124772643,82462.42670061841,20.427,10.399
0500000US39129,Pickaway,2020,637,215000.0,6125.51322474155,66715,3.2226635689125382,260588.36370942503,80861.17527848508,36.406,8.255
0500000US39129,Pickaway,2021,749,252999.0,7659.38944163688,71839,3.5217500243600273,292884.8334169834,83164.57198582869,53.312,11.339
0500000US39129,Pickaway,2022,869,292000.0,8284.601624500836,75777,3.853411985167003,312986.9231689191,81223.32218140816,63.835,8.74
0500000US39129,Pickaway,2023,717,300000.0,8130.240927937737,77390,3.876469828143171,308848.3173723835,79672.57093816253,61.668,6.664
0500000US39129,Pickaway,2024,747,330000.0,8322.650929258227,82938,3.978875786732258,330000.0,82938.0,72.74,11.036
0500000US39141,Ross,2014,54,67450.0,15589.522699918729,56371,1.1965372265881393,89375.18184813464,74694.86102240472,0.0,0.0
0500000US39141,Ross,2015,113,107000.0,13810.541243227444,58192,1.8387407203739345,141613.14589248874,77016.37556799724,58.448,3.108
0500000US39141,Ross,2016,178,131000.0,10525.162677028446,60294,2.1726871662188607,171216.91867320536,78804.22056856676,91.571,5.502
0500000US39141,Ross,2017,173,133500.0,10964.570796367618,63764,2.093657863371181,170844.81682441253,81601.11535574413,91.155,9.246
0500000US39141,Ross,2018,183,144500.0,11313.797333003806,64052,2.2559795166427277,180512.93074267148,80015.32345972037,101.972,7.123
0500000US39141,Ross,2019,190,143450.0,9844.447718011688,67207,2.1344502804767362,176011.94979992724,82462.42670061841,96.936,10.399
0500000US39141,Ross,2020,212,165000.0,10127.04141154561,66715,2.4732069249793898,199986.41866072154,80861.17527848508,123.761,8.255
0500000US39141,Ross,2021,265,190000.0,11081.007490814298,71839,2.6448029621793174,219953.90633649484,83164.57198582869,146.102,11.339
0500000US39141,Ross,2022,241,200000.0,11605.750809719317,75777,2.639323277511646,214374.60491021856,81223.32218140816,139.859,8.74
0500000US39141,Ross,2023,239,209500.0,13187.15726985495,77390,2.7070680966533143,215679.07496504782,79672.57093816253,141.319,6.664
0500000US39141,Ross,2024,241,222000.0,13993.056449630538,82938,2.6766982565289736,222000.0,82938.0,148.391,11.036
0500000US39159,Union,2012,479,152000.0,12390.830520758003,53699,2.830592748468314,207674.10298178528,73367.70826328215,0.0,0.0
0500000US39159,Union,2013,619,169900.0,9878.457874990214,54079,3.141700105401357,228779.39319273515,72820.25193919908,10.163,-0.746
0500000US39159,Union,2014,719,171000.0,9387.209406671975,56371,3.033474658955846,226584.96806569345,74694.86102240472,9.106,1.809
0500000US39159,Union,2015,849,190000.0,8578.207734719488,58192,3.265053615617267,251462.5955100267,77016.37556799724,21.085,4.973
0500000US39159,Union,2016,921,208000.0,8262.08461755373,60294,3.4497628288055195,271855.87087043293,78804.22056856676,30.905,7.41
